None
None
None
None
Duration: 288.736000061
         257822 function calls (255869 primitive calls) in 289.182 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3208(_setit)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3219(OptionMenu)
        1    0.000    0.000    0.000    0.000 Tkinter.py:323(DoubleVar)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3256(Image)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3316(PhotoImage)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3376(BitmapImage)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3391(Spinbox)
        1    0.000    0.000    0.000    0.000 Tkinter.py:342(BooleanVar)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3549(LabelFrame)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3571(PanedWindow)
        1    0.000    0.000    0.000    0.000 Tkinter.py:374(Misc)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3762(Studbutton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3770(Tributton)
        1    0.000    0.000    0.000    0.000 UserDict.py:39(keys)
        3    0.000    0.000    0.000    0.000 UserDict.py:4(__init__)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:74(_Feature)
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
       15    0.019    0.001    0.470    0.031 __init__.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:101(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:104(CFunctionType)
        1    0.002    0.002    0.009    0.009 __init__.py:105(<module>)
        1    0.003    0.003    0.061    0.061 __init__.py:106(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1082(rc_context)
        1    0.000    0.000    0.000    0.000 __init__.py:112(_add2path)
        2    0.000    0.000    0.000    0.000 __init__.py:113(compare_versions)
        1    0.002    0.002    0.002    0.002 __init__.py:119(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1190(get_backend)
        1    0.000    0.000    0.000    0.000 __init__.py:123(_Log)
        1    0.000    0.000    0.000    0.000 __init__.py:127(ModuleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:127(_FakeLog)
        1    0.000    0.000    0.000    0.000 __init__.py:13(register)
        1    0.000    0.000    0.000    0.000 __init__.py:134(get_projection_names)
        1    0.001    0.001    0.046    0.046 __init__.py:138(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:139(VisibleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:14(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:14(pylab_setup)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
        1    0.002    0.002    0.003    0.003 __init__.py:15(<module>)
        1    0.002    0.002    0.027    0.027 __init__.py:153(<module>)
        1    0.001    0.001    0.008    0.008 __init__.py:157(<module>)
        1    0.002    0.002    0.027    0.027 __init__.py:159(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:159(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:176(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:180(c_ulong)
        2    0.001    0.000    0.149    0.074 __init__.py:19(<module>)
        1    0.002    0.002    0.008    0.008 __init__.py:197(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:201(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:205(c_longdouble)
        3    0.000    0.000    0.002    0.001 __init__.py:210(_is_writable_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:215(c_longlong)
        1    0.000    0.000    0.000    0.000 __init__.py:219(c_ulonglong)
